batch_id,product_id,product_name,warehouse_location,received_date,storage_days,opening_stock_kg,accepted_quantity_kg,sold_quantity_kg,closing_stock_kg,shrinkage_kg,shrinkage_reason,quality_grade,moisture_percent,aflatoxin_risk_level,fumigation_required,warehouse_condition_score
B00016,P01,Maize,Kakamega Aggregation Warehouse,2026-01-15,166,1425,1425,0,1425,0,None,Grade B,8.2,Low,No,8.8
B00017,P07,Green Grams,Kirinyaga Aggregation Warehouse,2025-08-11,4,353,353,353,0,9,Moisture Loss,Grade A,14.7,High,Yes,6.6
B00018,P06,Millet,Embu Aggregation Warehouse,2026-05-06,10,200,200,200,0,3,Spillage During Handling,Grade A,12.5,Low,No,7.7
B00019,P04,Wheat,Makueni Aggregation Warehouse,2025-11-12,230,394,394,297,89,8,Pest Damage,Grade C,13.1,High,Yes,7.3
B00020,P02,Beans,Busia Aggregation Warehouse,2025-02-16,58,223,223,223,0,5,Moisture Loss,Grade C,14.9,Medium,Yes,6.6
B00021,P01,Maize,Makueni Aggregation Warehouse,2026-01-24,33,1683,1683,1683,0,34,Pest Damage,Grade A,12.9,Medium,Yes,8.5
B00022,P05,Sorghum,Kirinyaga Aggregation Warehouse,2026-04-17,74,560,560,0,554,6,Pest Damage,Grade A,10.7,Low,No,7.5
B00023,P08,Cowpeas,Kisumu Aggregation Warehouse,2025-02-04,400,853,853,522,313,18,Moisture Loss,Grade A,14.7,Medium,Yes,7.3
B00024,P01,Maize,Kakamega Aggregation Warehouse,2026-04-12,21,647,647,647,0,4,Moisture Loss,Grade A,10.4,Low,No,7.9
B00025,P02,Beans,Meru Aggregation Warehouse,2025-10-09,264,520,520,0,509,11,Moisture Loss,Grade B,14.3,Low,No,8.4
B00026,P04,Wheat,Nakuru Aggregation Warehouse,2025-07-16,349,1034,1034,240,764,30,Spillage During Handling,Grade B,16.4,Medium,Yes,6.5
B00027,P09,Barley,Kitui Aggregation Warehouse,2025-11-04,10,537,537,537,0,0,None,Grade B,8.8,Low,No,8.6
B00028,P03,Rice,Kisumu Aggregation Warehouse,2025-01-10,50,1200,1200,1200,0,21,Moisture Loss,Grade A,12.4,Medium,Yes,9.2
B00029,P08,Cowpeas,Makueni Aggregation Warehouse,2025-08-05,329,3296,3296,2435,822,39,Moisture Loss,Grade C,12.7,Medium,Yes,6.0
B00030,P04,Wheat,Nakuru Aggregation Warehouse,2025-07-03,362,1078,1078,0,1059,19,Moisture Loss,Grade B,13.0,Low,No,7.9
B00031,P01,Maize,Machakos Aggregation Warehouse,2025-09-04,299,313,313,0,303,10,Weighing Variance,Grade B,15.8,Low,No,7.3
B00032,P06,Millet,Kakamega Aggregation Warehouse,2025-12-21,55,538,538,538,0,9,Moisture Loss,Grade B,12.3,Medium,Yes,8.4
B00033,P01,Maize,Nyeri Aggregation Warehouse,2026-04-07,84,3149,3149,1469,1603,77,Weighing Variance,Grade B,13.6,Medium,Yes,6.3
B00034,P01,Maize,Nakuru Aggregation Warehouse,2025-03-17,26,574,574,574,0,10,Weighing Variance,Grade B,14.3,High,Yes,9.2
B00035,P08,Cowpeas,Uasin Gishu Aggregation Warehouse,2026-01-04,177,666,666,0,651,15,Moisture Loss,Grade B,13.8,Medium,Yes,5.8
B00036,P02,Beans,Narok Aggregation Warehouse,2025-11-29,213,2095,2095,0,2093,2,Pest Damage,Grade B,10.1,Medium,Yes,7.3
B00037,P04,Wheat,Makueni Aggregation Warehouse,2026-01-25,156,782,782,752,27,3,Spillage During Handling,Grade A,9.7,Medium,Yes,8.1
B00038,P02,Beans,Nakuru Aggregation Warehouse,2026-05-23,38,1230,1230,0,1217,13,Spillage During Handling,Grade C,10.4,Low,No,6.8
B00039,P03,Rice,Kisumu Aggregation Warehouse,2025-05-20,4,425,425,425,0,6,Spillage During Handling,Grade A,12.2,Medium,Yes,6.7
B00040,P05,Sorghum,Kirinyaga Aggregation Warehouse,2025-09-06,297,818,818,0,807,11,Moisture Loss,Grade C,10.9,Low,No,7.8
B00041,P05,Sorghum,Kisii Aggregation Warehouse,2025-01-28,400,724,724,0,710,14,Moisture Loss,Grade A,12.8,Medium,Yes,7.7
B00042,P05,Sorghum,Bungoma Aggregation Warehouse,2025-11-07,23,768,768,768,0,7,Moisture Loss,Grade A,11.4,Low,No,7.6
B00043,P04,Wheat,Trans Nzoia Aggregation Warehouse,2026-03-05,117,50,50,0,49,1,Spillage During Handling,Grade B,15.1,Low,No,8.5
B00044,P05,Sorghum,Makueni Aggregation Warehouse,2025-06-20,7,613,613,613,0,8,Pest Damage,Grade A,11.7,Medium,Yes,7.2
B00045,P01,Maize,Meru Aggregation Warehouse,2025-09-22,281,1110,1110,882,219,9,Spillage During Handling,Grade A,10.2,Low,Yes,8.0
B00046,P04,Wheat,Kakamega Aggregation Warehouse,2025-06-04,391,1080,1080,0,1048,32,Pest Damage,Grade C,15.2,Medium,Yes,7.0
B00047,P02,Beans,Nakuru Aggregation Warehouse,2025-07-31,334,451,451,0,444,7,Moisture Loss,Grade A,11.4,Low,No,6.7
B00048,P01,Maize,Kakamega Aggregation Warehouse,2025-12-18,66,289,289,289,0,6,Moisture Loss,Grade A,14.0,Medium,Yes,7.3
B00049,P02,Beans,Kisumu Aggregation Warehouse,2025-08-26,308,375,375,0,372,3,Spillage During Handling,Grade A,11.7,Low,No,7.1
B00050,P05,Sorghum,Machakos Aggregation Warehouse,2025-01-05,41,257,257,257,0,6,Moisture Loss,Grade A,13.8,Medium,Yes,7.1
B00051,P01,Maize,Bungoma Aggregation Warehouse,2025-09-26,277,2198,2198,0,2164,34,Pest Damage,Grade A,11.4,Low,No,8.9
B00052,P07,Green Grams,Machakos Aggregation Warehouse,2025-06-26,369,460,460,232,227,1,Moisture Loss,Grade A,9.5,Low,No,7.3
B00053,P01,Maize,Uasin Gishu Aggregation Warehouse,2025-05-25,400,239,239,0,239,0,None,Grade A,8.1,Medium,Yes,6.9
B00054,P08,Cowpeas,Bungoma Aggregation Warehouse,2025-06-20,375,906,906,0,893,13,Moisture Loss,Grade A,12.3,High,Yes,7.5
B00055,P01,Maize,Machakos Aggregation Warehouse,2026-06-02,5,769,769,769,0,10,Moisture Loss,Grade A,11.7,Low,No,7.7
B00056,P01,Maize,Kitui Aggregation Warehouse,2025-08-19,315,966,966,0,966,0,None,Grade B,8.9,Low,No,6.3
B00057,P01,Maize,Embu Aggregation Warehouse,2026-01-11,170,578,578,500,70,8,Spillage During Handling,Grade A,12.5,Low,No,7.3
B00058,P06,Millet,Kitui Aggregation Warehouse,2025-02-03,5,991,991,991,0,0,None,Grade C,9.1,Medium,Yes,7.2
B00059,P04,Wheat,Bungoma Aggregation Warehouse,2026-03-15,107,2469,2469,2341,84,44,Pest Damage,Grade A,14.0,Medium,Yes,7.4
B00060,P01,Maize,Nyeri Aggregation Warehouse,2025-10-27,246,1454,1454,748,690,16,Pest Damage,Grade B,10.4,Medium,Yes,8.4
B00061,P08,Cowpeas,Kitui Aggregation Warehouse,2025-05-10,50,702,702,702,0,13,Moisture Loss,Grade A,14.2,Low,Yes,7.8
B00062,P04,Wheat,Nyeri Aggregation Warehouse,2026-03-01,33,800,800,800,0,12,Weighing Variance,Grade A,11.8,Medium,Yes,9.0
B00063,P03,Rice,Kirinyaga Aggregation Warehouse,2025-12-02,7,233,233,233,0,5,Moisture Loss,Grade C,13.7,Medium,Yes,7.6
B00064,P07,Green Grams,Makueni Aggregation Warehouse,2025-08-12,34,254,254,254,0,5,Moisture Loss,Grade B,13.7,Low,No,9.6
B00065,P07,Green Grams,Kirinyaga Aggregation Warehouse,2025-02-19,400,2559,2559,0,2534,25,Moisture Loss,Grade C,11.9,Low,No,7.1
B00066,P01,Maize,Kitui Aggregation Warehouse,2025-05-16,400,1233,1233,965,249,19,Spillage During Handling,Grade A,13.8,High,Yes,6.6
B00067,P08,Cowpeas,Makueni Aggregation Warehouse,2025-02-23,17,782,782,782,0,10,Moisture Loss,Grade B,11.1,High,Yes,8.1
B00068,P01,Maize,Kirinyaga Aggregation Warehouse,2025-08-20,314,460,460,0,452,8,Spillage During Handling,Grade A,12.9,High,Yes,9.0
B00069,P01,Maize,Machakos Aggregation Warehouse,2025-04-02,54,2434,2434,2434,0,30,Spillage During Handling,Grade A,12.4,Low,Yes,6.1
B00070,P05,Sorghum,Kitui Aggregation Warehouse,2025-05-27,39,1239,1239,1239,0,14,Spillage During Handling,Grade A,11.3,Medium,Yes,7.4
B00071,P05,Sorghum,Uasin Gishu Aggregation Warehouse,2025-08-11,323,328,328,313,7,8,Moisture Loss,Grade B,14.5,Low,No,6.9
B00072,P01,Maize,Busia Aggregation Warehouse,2025-03-28,400,658,658,0,658,0,None,Grade C,9.7,Low,No,7.8
B00073,P01,Maize,Nyeri Aggregation Warehouse,2026-06-06,24,668,668,0,657,11,Moisture Loss,Grade C,13.3,Medium,Yes,7.6
B00074,P03,Rice,Trans Nzoia Aggregation Warehouse,2025-03-14,71,1133,1133,1133,0,22,Pest Damage,Grade A,14.8,Low,No,9.1
B00075,P04,Wheat,Bungoma Aggregation Warehouse,2026-04-28,63,1133,1133,0,1106,27,Moisture Loss,Grade B,13.4,Low,No,7.5
B00076,P01,Maize,Nakuru Aggregation Warehouse,2026-05-29,32,860,860,0,843,17,Moisture Loss,Grade B,14.2,Low,No,9.1
B00077,P09,Barley,Uasin Gishu Aggregation Warehouse,2025-12-01,20,1055,1055,1055,0,14,Moisture Loss,Grade A,12.1,Low,No,7.3
B00078,P01,Maize,Narok Aggregation Warehouse,2026-03-21,28,764,764,764,0,19,Moisture Loss,Grade B,13.9,Low,No,8.6
B00079,P06,Millet,Bungoma Aggregation Warehouse,2026-05-24,11,1376,1376,1376,0,16,Pest Damage,Grade A,12.7,Low,No,7.9
B00080,P06,Millet,Kitui Aggregation Warehouse,2025-01-31,37,559,559,559,0,6,Moisture Loss,Grade C,10.3,Medium,Yes,9.5
B00081,P02,Beans,Nakuru Aggregation Warehouse,2025-06-20,375,651,651,150,490,11,Pest Damage,Grade B,12.8,Medium,Yes,6.0
B00082,P07,Green Grams,Trans Nzoia Aggregation Warehouse,2025-09-08,295,712,712,0,697,15,Weighing Variance,Grade C,14.3,Low,No,6.3
B00083,P02,Beans,Kitui Aggregation Warehouse,2025-09-12,32,950,950,950,0,14,Moisture Loss,Grade A,12.7,Low,No,9.6
B00084,P01,Maize,Kirinyaga Aggregation Warehouse,2025-02-17,38,535,535,535,0,16,Moisture Loss,Grade C,15.5,Medium,Yes,6.8
B00085,P02,Beans,Nyeri Aggregation Warehouse,2025-11-08,234,970,970,0,959,11,Moisture Loss,Grade C,11.6,High,Yes,6.7
B00086,P06,Millet,Nakuru Aggregation Warehouse,2025-06-04,391,1877,1877,1429,431,17,Moisture Loss,Grade B,10.7,Low,No,6.6
B00087,P06,Millet,Busia Aggregation Warehouse,2025-11-11,32,632,632,632,0,3,Moisture Loss,Grade A,10.8,Low,No,8.9
B00088,P01,Maize,Makueni Aggregation Warehouse,2026-02-27,71,355,355,355,0,1,Pest Damage,Grade A,10.9,Low,No,6.2
B00089,P05,Sorghum,Kitui Aggregation Warehouse,2026-03-22,100,132,132,0,131,1,Moisture Loss,Grade C,10.0,Low,Yes,7.6
B00090,P02,Beans,Nyeri Aggregation Warehouse,2025-08-28,306,1455,1455,0,1440,15,Moisture Loss,Grade A,12.1,Low,No,7.3
B00091,P01,Maize,Makueni Aggregation Warehouse,2025-08-01,333,476,476,0,469,7,Moisture Loss,Grade B,12.8,Low,No,8.7
B00092,P01,Maize,Embu Aggregation Warehouse,2025-12-02,210,1086,1086,0,1081,5,Moisture Loss,Grade A,9.2,Low,No,7.0
B00093,P01,Maize,Kitui Aggregation Warehouse,2026-04-09,82,826,826,438,379,9,Moisture Loss,Grade B,11.2,Medium,Yes,8.1
B00094,P01,Maize,Busia Aggregation Warehouse,2026-02-15,36,486,486,486,0,12,Pest Damage,Grade B,15.0,Medium,Yes,6.3
B00095,P01,Maize,Busia Aggregation Warehouse,2026-03-31,19,303,303,303,0,2,Weighing Variance,Grade A,10.8,Low,No,10.0
B00096,P02,Beans,Narok Aggregation Warehouse,2026-02-09,141,521,521,0,512,9,Moisture Loss,Grade C,13.8,Medium,Yes,7.3
B00097,P01,Maize,Machakos Aggregation Warehouse,2025-09-09,294,1417,1417,332,1068,17,Moisture Loss,Grade A,11.2,Medium,Yes,7.6
B00098,P08,Cowpeas,Kisumu Aggregation Warehouse,2025-09-13,290,952,952,0,937,15,Weighing Variance,Grade C,13.2,High,Yes,9.3
B00099,P02,Beans,Machakos Aggregation Warehouse,2026-05-30,31,844,844,0,840,4,Spillage During Handling,Grade A,9.6,Medium,Yes,7.0
B00100,P04,Wheat,Trans Nzoia Aggregation Warehouse,2025-08-27,58,767,767,767,0,22,Pest Damage,Grade C,16.3,Medium,Yes,9.4
B00101,P04,Wheat,Kitui Aggregation Warehouse,2026-02-02,33,337,337,337,0,5,Moisture Loss,Grade A,12.5,Low,No,7.1
B00102,P01,Maize,Kitui Aggregation Warehouse,2025-12-27,185,3133,3133,766,2326,41,Pest Damage,Grade C,11.4,High,Yes,8.2
B00103,P01,Maize,Nakuru Aggregation Warehouse,2025-04-03,10,315,315,315,0,6,Moisture Loss,Grade B,13.7,High,Yes,6.8
B00104,P06,Millet,Meru Aggregation Warehouse,2025-11-28,40,605,605,605,0,12,Pest Damage,Grade A,14.5,Medium,Yes,6.1
B00105,P02,Beans,Uasin Gishu Aggregation Warehouse,2026-02-10,45,1028,1028,1028,0,26,Moisture Loss,Grade B,14.0,High,Yes,7.9
B00106,P05,Sorghum,Bungoma Aggregation Warehouse,2026-01-01,27,1613,1613,1613,0,17,Spillage During Handling,Grade B,11.1,Low,No,8.3
B00107,P08,Cowpeas,Makueni Aggregation Warehouse,2025-02-03,400,1078,1078,0,1060,18,Pest Damage,Grade B,12.1,High,Yes,6.0
B00108,P06,Millet,Nakuru Aggregation Warehouse,2025-12-22,20,1646,1646,1646,0,11,Moisture Loss,Grade B,10.8,Medium,Yes,7.3
B00109,P01,Maize,Kisii Aggregation Warehouse,2025-09-13,290,1025,1025,891,118,16,Moisture Loss,Grade A,12.9,Low,No,8.9
B00110,P08,Cowpeas,Nakuru Aggregation Warehouse,2026-01-23,158,252,252,0,247,5,Spillage During Handling,Grade B,14.1,Medium,Yes,8.3
B00111,P01,Maize,Kakamega Aggregation Warehouse,2025-02-04,400,908,908,0,894,14,Weighing Variance,Grade A,13.0,Medium,Yes,7.2
B00112,P08,Cowpeas,Narok Aggregation Warehouse,2025-12-13,199,1549,1549,409,1099,41,Moisture Loss,Grade C,15.0,Medium,Yes,6.9
B00113,P02,Beans,Narok Aggregation Warehouse,2026-02-24,126,885,885,643,223,19,Moisture Loss,Grade B,13.4,Medium,Yes,9.7
B00114,P04,Wheat,Kirinyaga Aggregation Warehouse,2025-06-07,4,347,347,347,0,0,None,Grade B,8.7,Medium,Yes,6.0
B00115,P01,Maize,Nyeri Aggregation Warehouse,2025-03-25,54,551,551,551,0,10,Pest Damage,Grade B,12.8,Low,No,7.5
B00116,P01,Maize,Meru Aggregation Warehouse,2026-01-26,55,1010,1010,1010,0,11,Spillage During Handling,Grade A,12.2,Low,No,6.0
B00117,P05,Sorghum,Kirinyaga Aggregation Warehouse,2025-12-19,4,1257,1257,1257,0,27,Spillage During Handling,Grade A,14.8,High,Yes,8.9
B00118,P05,Sorghum,Trans Nzoia Aggregation Warehouse,2026-05-02,34,78,78,78,0,1,Weighing Variance,Grade C,13.9,High,Yes,7.4
B00119,P05,Sorghum,Machakos Aggregation Warehouse,2025-05-31,395,1571,1571,0,1523,48,Moisture Loss,Grade C,15.3,Medium,Yes,7.8
B00120,P01,Maize,Makueni Aggregation Warehouse,2026-03-22,100,732,732,715,16,1,Moisture Loss,Grade A,9.9,Low,No,10.0
B00121,P02,Beans,Makueni Aggregation Warehouse,2025-11-30,212,2086,2086,0,2057,29,Moisture Loss,Grade B,12.4,Low,Yes,6.9
B00122,P02,Beans,Uasin Gishu Aggregation Warehouse,2025-04-13,400,926,926,336,583,7,Moisture Loss,Grade A,11.0,Medium,Yes,9.5
B00123,P05,Sorghum,Uasin Gishu Aggregation Warehouse,2026-04-30,61,640,640,0,629,11,Spillage During Handling,Grade B,12.0,Low,No,7.2
B00124,P01,Maize,Kirinyaga Aggregation Warehouse,2025-10-03,270,1567,1567,0,1541,26,Moisture Loss,Grade B,13.1,Medium,Yes,7.3
B00125,P09,Barley,Makueni Aggregation Warehouse,2025-05-18,400,1239,1239,0,1216,23,Moisture Loss,Grade B,14.0,Medium,Yes,10.0
B00126,P01,Maize,Busia Aggregation Warehouse,2026-02-21,129,1585,1585,0,1543,42,Moisture Loss,Grade B,15.1,Medium,Yes,7.4
B00127,P07,Green Grams,Kisumu Aggregation Warehouse,2025-01-30,71,308,308,308,0,5,Moisture Loss,Grade A,12.4,Medium,Yes,6.1
B00128,P07,Green Grams,Kakamega Aggregation Warehouse,2026-02-11,139,2237,2237,0,2215,22,Moisture Loss,Grade A,10.9,Low,No,7.9
B00129,P04,Wheat,Bungoma Aggregation Warehouse,2025-06-17,8,609,609,609,0,11,Pest Damage,Grade A,14.3,Low,Yes,7.4
B00130,P07,Green Grams,Busia Aggregation Warehouse,2025-08-19,7,480,480,480,0,6,Moisture Loss,Grade B,11.9,Low,No,8.0
B00131,P05,Sorghum,Trans Nzoia Aggregation Warehouse,2025-01-09,400,695,695,0,690,5,Moisture Loss,Grade B,11.1,Low,No,7.5
B00132,P03,Rice,Kisii Aggregation Warehouse,2026-04-23,58,1278,1278,1278,0,22,Spillage During Handling,Grade A,13.3,Medium,Yes,10.0
B00133,P04,Wheat,Trans Nzoia Aggregation Warehouse,2025-10-17,48,772,772,772,0,11,Moisture Loss,Grade B,11.3,Low,No,8.2
B00134,P08,Cowpeas,Kitui Aggregation Warehouse,2025-11-02,25,307,307,307,0,4,Pest Damage,Grade C,13.6,Medium,Yes,6.4
B00135,P05,Sorghum,Narok Aggregation Warehouse,2025-01-27,21,323,323,323,0,4,Moisture Loss,Grade A,12.6,Low,No,7.7
B00136,P02,Beans,Nakuru Aggregation Warehouse,2025-08-16,318,642,642,502,123,17,Spillage During Handling,Grade B,14.6,Low,No,6.7
B00137,P07,Green Grams,Trans Nzoia Aggregation Warehouse,2025-10-28,36,545,545,545,0,5,Moisture Loss,Grade B,11.6,Low,No,7.3
B00138,P05,Sorghum,Kitui Aggregation Warehouse,2025-12-30,20,1406,1406,1406,0,39,Moisture Loss,Grade B,16.3,Medium,Yes,6.6
B00139,P03,Rice,Narok Aggregation Warehouse,2025-03-14,39,1020,1020,1020,0,25,Spillage During Handling,Grade B,13.9,Low,No,9.9
B00140,P01,Maize,Machakos Aggregation Warehouse,2025-12-17,195,1510,1510,1126,374,10,Spillage During Handling,Grade A,11.4,Low,No,6.8
B00141,P02,Beans,Bungoma Aggregation Warehouse,2025-11-17,225,850,850,0,829,21,Moisture Loss,Grade A,14.5,Low,No,8.4
B00142,P01,Maize,Kisumu Aggregation Warehouse,2026-03-16,35,466,466,466,0,7,Spillage During Handling,Grade A,11.7,Low,No,7.2
B00143,P06,Millet,Kisumu Aggregation Warehouse,2025-07-15,350,346,346,0,342,4,Moisture Loss,Grade B,11.4,High,Yes,6.2
B00144,P04,Wheat,Makueni Aggregation Warehouse,2025-03-08,63,2633,2633,2633,0,27,Spillage During Handling,Grade A,10.5,Medium,Yes,7.8
B00145,P02,Beans,Makueni Aggregation Warehouse,2026-05-17,59,316,316,316,0,6,Moisture Loss,Grade B,13.7,Medium,Yes,8.0
B00146,P01,Maize,Meru Aggregation Warehouse,2026-06-01,29,653,653,0,653,0,None,Grade B,9.0,Low,No,8.2
B00147,P05,Sorghum,Narok Aggregation Warehouse,2025-04-21,8,1365,1365,1365,0,8,Pest Damage,Grade A,9.9,Low,No,4.7
B00148,P01,Maize,Makueni Aggregation Warehouse,2025-01-10,400,720,720,582,118,20,Moisture Loss,Grade B,14.7,Low,No,6.2
B00149,P05,Sorghum,Trans Nzoia Aggregation Warehouse,2025-04-27,400,2215,2215,680,1499,36,Moisture Loss,Grade B,12.1,Low,No,8.7
B00150,P01,Maize,Kirinyaga Aggregation Warehouse,2026-05-24,28,1198,1198,1198,0,0,None,Grade A,9.2,Medium,Yes,6.6
B00151,P05,Sorghum,Uasin Gishu Aggregation Warehouse,2025-04-03,400,280,280,0,277,3,Moisture Loss,Grade B,11.2,Low,No,7.8
B00152,P03,Rice,Meru Aggregation Warehouse,2025-06-28,71,1087,1087,1087,0,24,Moisture Loss,Grade A,13.0,Medium,Yes,6.2
B00153,P01,Maize,Bungoma Aggregation Warehouse,2025-06-24,20,976,976,976,0,11,Moisture Loss,Grade B,11.9,Medium,Yes,8.4
B00154,P02,Beans,Machakos Aggregation Warehouse,2025-10-06,267,600,600,0,600,0,None,Grade B,8.0,Low,No,8.6
B00155,P01,Maize,Kakamega Aggregation Warehouse,2025-06-13,11,308,308,308,0,5,Moisture Loss,Grade B,13.2,Low,No,8.4
B00156,P01,Maize,Makueni Aggregation Warehouse,2025-05-14,67,269,269,269,0,7,Weighing Variance,Grade A,14.9,Low,No,8.7
B00157,P04,Wheat,Narok Aggregation Warehouse,2025-08-18,316,646,646,0,633,13,Pest Damage,Grade B,12.7,Low,No,9.3
B00158,P03,Rice,Uasin Gishu Aggregation Warehouse,2026-01-30,5,1465,1465,1465,0,13,Moisture Loss,Grade A,11.5,Low,No,6.3
B00159,P07,Green Grams,Narok Aggregation Warehouse,2025-06-19,64,244,244,244,0,4,Moisture Loss,Grade A,11.8,Medium,Yes,6.7
B00160,P07,Green Grams,Kirinyaga Aggregation Warehouse,2026-04-16,75,622,622,475,127,20,Moisture Loss,Grade B,16.9,Medium,Yes,8.6
B00161,P01,Maize,Busia Aggregation Warehouse,2025-02-06,15,1001,1001,1001,0,24,Spillage During Handling,Grade B,15.2,Medium,Yes,8.8
B00162,P05,Sorghum,Machakos Aggregation Warehouse,2025-12-16,196,683,683,428,246,9,Pest Damage,Grade A,12.6,Medium,Yes,6.9
B00163,P02,Beans,Kakamega Aggregation Warehouse,2025-04-27,400,716,716,0,711,5,Moisture Loss,Grade B,10.3,Low,No,6.8
B00164,P06,Millet,Kirinyaga Aggregation Warehouse,2025-06-18,377,121,121,0,119,2,Pest Damage,Grade A,12.8,Low,No,6.9
B00165,P01,Maize,Busia Aggregation Warehouse,2025-07-15,56,715,715,715,0,20,Spillage During Handling,Grade C,14.8,Medium,Yes,5.8
B00166,P03,Rice,Kirinyaga Aggregation Warehouse,2026-06-01,32,2568,2568,2568,0,44,Moisture Loss,Grade C,12.2,High,Yes,6.1
B00167,P07,Green Grams,Machakos Aggregation Warehouse,2025-07-01,364,1192,1192,849,332,11,Weighing Variance,Grade B,11.2,Medium,Yes,6.2
B00168,P02,Beans,Nyeri Aggregation Warehouse,2025-09-12,291,686,686,0,672,14,Moisture Loss,Grade A,13.0,Low,No,7.3
B00169,P04,Wheat,Busia Aggregation Warehouse,2025-11-18,224,769,769,200,544,25,Spillage During Handling,Grade C,16.7,High,Yes,7.7
B00170,P01,Maize,Nyeri Aggregation Warehouse,2025-07-02,363,1510,1510,0,1484,26,Weighing Variance,Grade A,12.9,Low,No,8.1
B00171,P06,Millet,Kitui Aggregation Warehouse,2025-10-20,42,318,318,318,0,7,Pest Damage,Grade B,13.9,Low,No,7.0
B00172,P09,Barley,Makueni Aggregation Warehouse,2025-09-14,289,311,311,80,224,7,Spillage During Handling,Grade B,14.6,Medium,Yes,7.1
B00173,P07,Green Grams,Machakos Aggregation Warehouse,2025-08-18,316,986,986,0,956,30,Moisture Loss,Grade C,15.5,Medium,Yes,7.7
B00174,P02,Beans,Nakuru Aggregation Warehouse,2025-11-17,225,1439,1439,851,558,30,Moisture Loss,Grade C,14.7,High,Yes,5.8
B00175,P08,Cowpeas,Nyeri Aggregation Warehouse,2026-01-12,169,1249,1249,688,542,19,Spillage During Handling,Grade C,13.8,Medium,Yes,8.7
B00176,P01,Maize,Bungoma Aggregation Warehouse,2026-06-11,30,856,856,856,0,1,Moisture Loss,Grade A,9.8,Low,No,9.0
B00177,P06,Millet,Uasin Gishu Aggregation Warehouse,2025-02-10,400,394,394,0,385,9,Pest Damage,Grade B,15.8,Low,No,6.9
B00178,P04,Wheat,Nakuru Aggregation Warehouse,2025-11-22,18,262,262,262,0,5,Pest Damage,Grade A,12.9,Medium,Yes,7.2
B00179,P01,Maize,Kisii Aggregation Warehouse,2025-12-06,206,1544,1544,571,929,44,Moisture Loss,Grade B,15.7,Medium,Yes,9.0
B00180,P01,Maize,Kisii Aggregation Warehouse,2025-12-21,191,1453,1453,473,963,17,Spillage During Handling,Grade C,11.8,Medium,Yes,7.5
B00181,P02,Beans,Embu Aggregation Warehouse,2025-10-17,68,774,774,774,0,3,Moisture Loss,Grade A,9.6,Low,Yes,8.2
B00182,P01,Maize,Makueni Aggregation Warehouse,2025-03-26,400,1223,1223,0,1180,43,Pest Damage,Grade A,17.6,Medium,Yes,7.5
B00183,P02,Beans,Nyeri Aggregation Warehouse,2025-07-30,8,1218,1218,1218,0,21,Spillage During Handling,Grade B,13.7,Medium,Yes,9.3
B00184,P01,Maize,Nakuru Aggregation Warehouse,2025-12-06,206,1277,1277,0,1256,21,Spillage During Handling,Grade A,13.1,Medium,Yes,8.1
