procurement_id,batch_id,farmer_id,product_id,product_name,procurement_date,season,county_sourced,quantity_kg,farmgate_price_kes_per_kg,transport_cost_kes,handling_cost_kes,moisture_percent,grade,rejected_quantity_kg,accepted_quantity_kg,collection_center,payment_status,days_to_pay_farmer
PR00040,B00040,F0063,P05,Sorghum,2025-09-06,Long Rains Harvest,Kirinyaga,818,50.16,82.8,858.99,10.9,Grade C,0,818,Kirinyaga Collection Center 1,Delayed,41
PR00041,B00041,F0071,P05,Sorghum,2025-01-28,Short Rains Harvest,Kisii,724,63.71,92.15,721.0,12.8,Grade A,0,724,Kisii Collection Center 2,Pending,
PR00042,B00042,F0018,P05,Sorghum,2025-11-07,Peak Demand Season,Bungoma,768,55.48,78.45,768.51,11.4,Grade A,0,768,Bungoma Collection Center 2,Paid,17
PR00043,B00043,F0119,P04,Wheat,2026-03-05,Lean Season,Trans Nzoia,50,57.61,7.67,37.58,15.1,Grade B,0,50,Trans Nzoia Collection Center 1,Paid,6
PR00044,B00044,F0046,P05,Sorghum,2025-06-20,Lean Season,Makueni,613,68.25,78.8,728.57,11.7,Grade A,0,613,Makueni Collection Center 2,Delayed,33
PR00045,B00045,F0013,P01,Maize,2025-09-22,Long Rains Harvest,Meru,1110,41.91,121.23,988.56,10.2,Grade A,0,1110,Meru Collection Center 3,Paid,21
PR00046,B00046,F0065,P04,Wheat,2025-06-04,Lean Season,Kakamega,1415,55.38,162.07,811.06,15.2,Grade C,335,1080,Kakamega Collection Center 2,Paid,7
PR00047,B00047,F0101,P02,Beans,2025-07-31,Long Rains Harvest,Nakuru,451,106.58,65.77,256.32,11.4,Grade A,0,451,Nakuru Collection Center 3,Paid,18
PR00048,B00048,F0109,P01,Maize,2025-12-18,Peak Demand Season,Kakamega,289,54.99,36.79,177.75,14.0,Grade A,0,289,Kakamega Collection Center 3,Paid,18
PR00049,B00049,F0060,P02,Beans,2025-08-26,Long Rains Harvest,Kisumu,375,116.76,51.93,236.43,11.7,Grade A,0,375,Kisumu Collection Center 2,Delayed,46
PR00050,B00050,F0050,P05,Sorghum,2025-01-05,Short Rains Harvest,Machakos,330,58.99,42.98,338.79,13.8,Grade A,73,257,Machakos Collection Center 2,Paid,6
PR00051,B00051,F0015,P01,Maize,2025-09-26,Long Rains Harvest,Bungoma,2198,48.51,265.17,2585.16,11.4,Grade A,0,2198,Bungoma Collection Center 2,Paid,16
PR00052,B00052,F0080,P07,Green Grams,2025-06-26,Lean Season,Machakos,460,169.03,55.14,325.78,9.5,Grade A,0,460,Machakos Collection Center 2,Paid,20
PR00053,B00053,F0048,P01,Maize,2025-05-25,Lean Season,Uasin Gishu,239,56.19,23.79,142.57,8.1,Grade A,0,239,Uasin Gishu Collection Center 3,Paid,21
PR00054,B00054,F0023,P08,Cowpeas,2025-06-20,Lean Season,Bungoma,906,115.01,94.04,652.51,12.3,Grade A,0,906,Bungoma Collection Center 1,Paid,14
PR00055,B00055,F0050,P01,Maize,2026-06-02,Lean Season,Machakos,769,58.74,105.52,649.2,11.7,Grade A,0,769,Machakos Collection Center 1,Paid,12
PR00056,B00056,F0036,P01,Maize,2025-08-19,Long Rains Harvest,Kitui,966,46.55,104.52,792.24,8.9,Grade B,0,966,Kitui Collection Center 1,Paid,11
PR00057,B00057,F0070,P01,Maize,2026-01-11,Short Rains Harvest,Embu,578,48.14,60.63,596.5,12.5,Grade A,0,578,Embu Collection Center 3,Pending,
PR00058,B00058,F0039,P06,Millet,2025-02-03,Short Rains Harvest,Kitui,991,89.67,118.86,1062.06,9.1,Grade C,0,991,Kitui Collection Center 3,Paid,18
PR00059,B00059,F0045,P04,Wheat,2026-03-15,Lean Season,Bungoma,2469,53.38,247.31,1591.6,14.0,Grade A,0,2469,Bungoma Collection Center 3,Paid,13
PR00060,B00060,F0091,P01,Maize,2025-10-27,Peak Demand Season,Nyeri,1454,48.96,197.86,1600.29,10.4,Grade B,0,1454,Nyeri Collection Center 2,Delayed,40
PR00061,B00061,F0036,P08,Cowpeas,2025-05-10,Lean Season,Kitui,702,122.13,75.24,422.86,14.2,Grade A,0,702,Kitui Collection Center 1,Paid,11
PR00062,B00062,F0035,P04,Wheat,2026-03-01,Lean Season,Nyeri,800,55.72,76.19,844.98,11.8,Grade A,0,800,Nyeri Collection Center 2,Paid,10
PR00063,B00063,F0063,P03,Rice,2025-12-02,Peak Demand Season,Kirinyaga,233,86.94,27.16,254.67,13.7,Grade C,0,233,Kirinyaga Collection Center 1,Paid,8
PR00064,B00064,F0051,P07,Green Grams,2025-08-12,Long Rains Harvest,Makueni,254,144.25,33.75,214.96,13.7,Grade B,0,254,Makueni Collection Center 2,Paid,6
PR00065,B00065,F0115,P07,Green Grams,2025-02-19,Short Rains Harvest,Kirinyaga,2559,115.66,400.42,2778.28,11.9,Grade C,0,2559,Kirinyaga Collection Center 2,Paid,10
PR00066,B00066,F0089,P01,Maize,2025-05-16,Lean Season,Kitui,1233,62.85,173.92,1371.21,13.8,Grade A,0,1233,Kitui Collection Center 3,Paid,8
PR00067,B00067,F0022,P08,Cowpeas,2025-02-23,Short Rains Harvest,Makueni,782,94.9,91.17,773.87,11.1,Grade B,0,782,Makueni Collection Center 2,Paid,21
PR00068,B00068,F0076,P01,Maize,2025-08-20,Long Rains Harvest,Kirinyaga,460,46.29,63.2,232.6,12.9,Grade A,0,460,Kirinyaga Collection Center 2,Paid,11
PR00069,B00069,F0050,P01,Maize,2025-04-02,Lean Season,Machakos,2434,60.14,308.43,1750.89,12.4,Grade A,0,2434,Machakos Collection Center 1,Pending,
PR00070,B00070,F0087,P05,Sorghum,2025-05-27,Lean Season,Kitui,1239,55.29,136.37,1148.83,11.3,Grade A,0,1239,Kitui Collection Center 2,Pending,
PR00071,B00071,F0057,P05,Sorghum,2025-08-11,Long Rains Harvest,Uasin Gishu,328,45.76,53.54,336.76,14.5,Grade B,0,328,Uasin Gishu Collection Center 1,Paid,10
PR00072,B00072,F0083,P01,Maize,2025-03-28,Lean Season,Busia,658,51.49,87.11,661.18,9.7,Grade C,0,658,Busia Collection Center 2,Pending,
PR00073,B00073,F0078,P01,Maize,2026-06-06,Lean Season,Nyeri,668,50.42,64.9,636.15,13.3,Grade C,0,668,Nyeri Collection Center 1,Paid,19
PR00074,B00074,F0077,P03,Rice,2025-03-14,Lean Season,Trans Nzoia,1133,91.42,133.03,1349.2,14.8,Grade A,0,1133,Trans Nzoia Collection Center 2,Paid,10
PR00075,B00075,F0023,P04,Wheat,2026-04-28,Lean Season,Bungoma,1184,62.21,143.59,605.83,13.4,Grade B,51,1133,Bungoma Collection Center 3,Pending,
PR00076,B00076,F0092,P01,Maize,2026-05-29,Lean Season,Nakuru,904,60.79,100.94,706.56,14.2,Grade B,44,860,Nakuru Collection Center 1,Paid,15
PR00077,B00077,F0020,P09,Barley,2025-12-01,Peak Demand Season,Uasin Gishu,1055,50.3,118.1,1143.8,12.1,Grade A,0,1055,Uasin Gishu Collection Center 1,Pending,
PR00078,B00078,F0012,P01,Maize,2026-03-21,Lean Season,Narok,764,49.12,112.96,411.43,13.9,Grade B,0,764,Narok Collection Center 1,Paid,12
PR00079,B00079,F0021,P06,Millet,2026-05-24,Lean Season,Bungoma,1376,123.76,161.4,1442.17,12.7,Grade A,0,1376,Bungoma Collection Center 2,Pending,
PR00080,B00080,F0016,P06,Millet,2025-01-31,Short Rains Harvest,Kitui,559,86.18,129.51,484.48,10.3,Grade C,0,559,Kitui Collection Center 3,Paid,21
PR00081,B00081,F0064,P02,Beans,2025-06-20,Lean Season,Nakuru,651,122.87,106.98,372.39,12.8,Grade B,0,651,Nakuru Collection Center 1,Paid,19
PR00082,B00082,F0002,P07,Green Grams,2025-09-08,Long Rains Harvest,Trans Nzoia,898,112.01,139.58,1027.45,14.3,Grade C,186,712,Trans Nzoia Collection Center 3,Pending,
PR00083,B00083,F0042,P02,Beans,2025-09-12,Long Rains Harvest,Kitui,950,102.72,163.81,655.39,12.7,Grade A,0,950,Kitui Collection Center 1,Delayed,45
PR00084,B00084,F0067,P01,Maize,2025-02-17,Short Rains Harvest,Kirinyaga,535,54.4,46.4,441.68,15.5,Grade C,0,535,Kirinyaga Collection Center 1,Paid,19
PR00085,B00085,F0038,P02,Beans,2025-11-08,Peak Demand Season,Nyeri,970,130.81,109.63,735.06,11.6,Grade C,0,970,Nyeri Collection Center 3,Pending,
PR00086,B00086,F0032,P06,Millet,2025-06-04,Lean Season,Nakuru,1877,89.83,247.73,1244.64,10.7,Grade B,0,1877,Nakuru Collection Center 1,Delayed,42
PR00087,B00087,F0049,P06,Millet,2025-11-11,Peak Demand Season,Busia,632,87.49,66.26,421.37,10.8,Grade A,0,632,Busia Collection Center 1,Pending,
PR00088,B00088,F0030,P01,Maize,2026-02-27,Short Rains Harvest,Makueni,355,50.55,40.86,419.68,10.9,Grade A,0,355,Makueni Collection Center 1,Pending,
PR00089,B00089,F0008,P05,Sorghum,2026-03-22,Lean Season,Kitui,132,68.6,12.24,92.95,10.0,Grade C,0,132,Kitui Collection Center 2,Pending,
PR00090,B00090,F0035,P02,Beans,2025-08-28,Long Rains Harvest,Nyeri,1455,90.15,143.37,1521.87,12.1,Grade A,0,1455,Nyeri Collection Center 2,Paid,19
PR00091,B00091,F0046,P01,Maize,2025-08-01,Long Rains Harvest,Makueni,476,45.29,68.23,522.05,12.8,Grade B,0,476,Makueni Collection Center 3,Pending,
PR00092,B00092,F0107,P01,Maize,2025-12-02,Peak Demand Season,Embu,1086,46.59,141.8,1279.18,9.2,Grade A,0,1086,Embu Collection Center 1,Pending,
PR00093,B00093,F0052,P01,Maize,2026-04-09,Lean Season,Kitui,826,57.0,87.63,467.77,11.2,Grade B,0,826,Kitui Collection Center 1,Paid,14
PR00094,B00094,F0106,P01,Maize,2026-02-15,Short Rains Harvest,Busia,486,45.56,50.04,462.32,15.0,Grade B,0,486,Busia Collection Center 1,Paid,14
PR00095,B00095,F0083,P01,Maize,2026-03-31,Lean Season,Busia,303,61.54,35.25,331.21,10.8,Grade A,0,303,Busia Collection Center 3,Paid,15
PR00096,B00096,F0093,P02,Beans,2026-02-09,Short Rains Harvest,Narok,521,109.1,86.63,416.1,13.8,Grade C,0,521,Narok Collection Center 1,Paid,21
PR00097,B00097,F0080,P01,Maize,2025-09-09,Long Rains Harvest,Machakos,1417,48.17,161.68,1584.13,11.2,Grade A,0,1417,Machakos Collection Center 3,Paid,16
PR00098,B00098,F0068,P08,Cowpeas,2025-09-13,Long Rains Harvest,Kisumu,952,98.37,127.3,1005.69,13.2,Grade C,0,952,Kisumu Collection Center 2,Paid,16
PR00099,B00099,F0073,P02,Beans,2026-05-30,Lean Season,Machakos,844,120.81,160.96,437.4,9.6,Grade A,0,844,Machakos Collection Center 2,Paid,12
PR00100,B00100,F0099,P04,Wheat,2025-08-27,Long Rains Harvest,Trans Nzoia,767,51.28,69.07,736.17,16.3,Grade C,0,767,Trans Nzoia Collection Center 1,Paid,17
PR00101,B00101,F0103,P04,Wheat,2026-02-02,Short Rains Harvest,Kitui,337,47.07,69.66,367.89,12.5,Grade A,0,337,Kitui Collection Center 3,Paid,21
PR00102,B00102,F0090,P01,Maize,2025-12-27,Peak Demand Season,Kitui,3133,60.02,473.84,2801.45,11.4,Grade C,0,3133,Kitui Collection Center 2,Paid,21
PR00103,B00103,F0005,P01,Maize,2025-04-03,Lean Season,Nakuru,315,48.05,34.53,161.89,13.7,Grade B,0,315,Nakuru Collection Center 2,Pending,
PR00104,B00104,F0118,P06,Millet,2025-11-28,Peak Demand Season,Meru,605,86.0,62.52,600.94,14.5,Grade A,0,605,Meru Collection Center 1,Paid,16
PR00105,B00105,F0085,P02,Beans,2026-02-10,Short Rains Harvest,Uasin Gishu,1028,112.52,119.73,746.15,14.0,Grade B,0,1028,Uasin Gishu Collection Center 2,Paid,21
PR00106,B00106,F0023,P05,Sorghum,2026-01-01,Short Rains Harvest,Bungoma,1613,49.84,187.5,1004.49,11.1,Grade B,0,1613,Bungoma Collection Center 3,Pending,
PR00107,B00107,F0051,P08,Cowpeas,2025-02-03,Short Rains Harvest,Makueni,1078,88.79,126.82,1149.33,12.1,Grade B,0,1078,Makueni Collection Center 2,Paid,14
PR00108,B00108,F0031,P06,Millet,2025-12-22,Peak Demand Season,Nakuru,1646,117.01,165.05,1843.07,10.8,Grade B,0,1646,Nakuru Collection Center 2,Delayed,39
PR00109,B00109,F0027,P01,Maize,2025-09-13,Long Rains Harvest,Kisii,1025,48.84,101.38,1077.19,12.9,Grade A,0,1025,Kisii Collection Center 1,Paid,14
PR00110,B00110,F0064,P08,Cowpeas,2026-01-23,Short Rains Harvest,Nakuru,252,93.61,42.7,272.2,14.1,Grade B,0,252,Nakuru Collection Center 2,Paid,19
PR00111,B00111,F0109,P01,Maize,2025-02-04,Short Rains Harvest,Kakamega,908,44.38,105.9,1058.88,13.0,Grade A,0,908,Kakamega Collection Center 3,Pending,
PR00112,B00112,F0012,P08,Cowpeas,2025-12-13,Peak Demand Season,Narok,2001,111.11,295.95,1676.67,15.0,Grade C,452,1549,Narok Collection Center 1,Paid,8
PR00113,B00113,F0025,P02,Beans,2026-02-24,Short Rains Harvest,Narok,885,116.74,131.91,894.72,13.4,Grade B,0,885,Narok Collection Center 3,Paid,18
PR00114,B00114,F0063,P04,Wheat,2025-06-07,Lean Season,Kirinyaga,347,52.13,32.62,194.78,8.7,Grade B,0,347,Kirinyaga Collection Center 1,Paid,16
PR00115,B00115,F0038,P01,Maize,2025-03-25,Lean Season,Nyeri,551,55.53,60.21,578.23,12.8,Grade B,0,551,Nyeri Collection Center 2,Paid,16
PR00116,B00116,F0114,P01,Maize,2026-01-26,Short Rains Harvest,Meru,1010,45.51,149.51,691.15,12.2,Grade A,0,1010,Meru Collection Center 3,Paid,2
PR00117,B00117,F0011,P05,Sorghum,2025-12-19,Peak Demand Season,Kirinyaga,1257,67.37,147.08,1294.11,14.8,Grade A,0,1257,Kirinyaga Collection Center 3,Paid,12
PR00118,B00118,F0120,P05,Sorghum,2026-05-02,Lean Season,Trans Nzoia,92,66.59,9.92,65.25,13.9,Grade C,14,78,Trans Nzoia Collection Center 3,Paid,19
PR00119,B00119,F0080,P05,Sorghum,2025-05-31,Lean Season,Machakos,1571,56.45,190.55,975.62,15.3,Grade C,0,1571,Machakos Collection Center 2,Paid,20
PR00120,B00120,F0088,P01,Maize,2026-03-22,Lean Season,Makueni,732,50.66,105.98,441.77,9.9,Grade A,0,732,Makueni Collection Center 1,Pending,
PR00121,B00121,F0051,P02,Beans,2025-11-30,Peak Demand Season,Makueni,2086,135.73,258.02,2382.24,12.4,Grade B,0,2086,Makueni Collection Center 1,Pending,
PR00122,B00122,F0019,P02,Beans,2025-04-13,Lean Season,Uasin Gishu,926,147.84,119.78,528.46,11.0,Grade A,0,926,Uasin Gishu Collection Center 2,Paid,13
PR00123,B00123,F0074,P05,Sorghum,2026-04-30,Lean Season,Uasin Gishu,827,54.6,79.68,496.78,12.0,Grade B,187,640,Uasin Gishu Collection Center 1,Paid,12
PR00124,B00124,F0061,P01,Maize,2025-10-03,Peak Demand Season,Kirinyaga,1567,59.17,338.6,1680.09,13.1,Grade B,0,1567,Kirinyaga Collection Center 1,Paid,13
PR00125,B00125,F0030,P09,Barley,2025-05-18,Lean Season,Makueni,1239,52.65,155.94,1290.82,14.0,Grade B,0,1239,Makueni Collection Center 2,Paid,16
PR00126,B00126,F0106,P01,Maize,2026-02-21,Short Rains Harvest,Busia,1758,51.16,186.52,1946.16,15.1,Grade B,173,1585,Busia Collection Center 1,Paid,17
PR00127,B00127,F0068,P07,Green Grams,2025-01-30,Short Rains Harvest,Kisumu,346,120.27,47.03,221.62,12.4,Grade A,38,308,Kisumu Collection Center 2,Paid,17
PR00128,B00128,F0065,P07,Green Grams,2026-02-11,Short Rains Harvest,Kakamega,2237,136.94,263.24,1166.36,10.9,Grade A,0,2237,Kakamega Collection Center 3,Pending,
PR00129,B00129,F0045,P04,Wheat,2025-06-17,Lean Season,Bungoma,778,60.9,80.42,841.49,14.3,Grade A,169,609,Bungoma Collection Center 1,Pending,
PR00130,B00130,F0083,P07,Green Grams,2025-08-19,Long Rains Harvest,Busia,480,134.09,58.52,377.59,11.9,Grade B,0,480,Busia Collection Center 1,Paid,13
PR00131,B00131,F0077,P05,Sorghum,2025-01-09,Short Rains Harvest,Trans Nzoia,695,49.85,75.02,806.27,11.1,Grade B,0,695,Trans Nzoia Collection Center 2,Delayed,20
PR00132,B00132,F0028,P03,Rice,2026-04-23,Lean Season,Kisii,1278,85.84,217.1,1196.88,13.3,Grade A,0,1278,Kisii Collection Center 2,Delayed,39
PR00133,B00133,F0077,P04,Wheat,2025-10-17,Peak Demand Season,Trans Nzoia,772,51.43,73.43,420.5,11.3,Grade B,0,772,Trans Nzoia Collection Center 3,Paid,12
PR00134,B00134,F0084,P08,Cowpeas,2025-11-02,Peak Demand Season,Kitui,307,98.33,38.06,205.14,13.6,Grade C,0,307,Kitui Collection Center 2,Paid,21
PR00135,B00135,F0093,P05,Sorghum,2025-01-27,Short Rains Harvest,Narok,397,58.05,76.2,270.59,12.6,Grade A,74,323,Narok Collection Center 1,Paid,8
PR00136,B00136,F0092,P02,Beans,2025-08-16,Long Rains Harvest,Nakuru,642,112.66,75.51,534.8,14.6,Grade B,0,642,Nakuru Collection Center 3,Paid,17
PR00137,B00137,F0024,P07,Green Grams,2025-10-28,Peak Demand Season,Trans Nzoia,545,129.89,58.87,371.18,11.6,Grade B,0,545,Trans Nzoia Collection Center 2,Paid,21
PR00138,B00138,F0029,P05,Sorghum,2025-12-30,Peak Demand Season,Kitui,1406,55.09,174.46,1116.83,16.3,Grade B,0,1406,Kitui Collection Center 1,Paid,17
PR00139,B00139,F0111,P03,Rice,2025-03-14,Lean Season,Narok,1020,90.04,160.91,595.55,13.9,Grade B,0,1020,Narok Collection Center 1,Pending,
PR00140,B00140,F0026,P01,Maize,2025-12-17,Peak Demand Season,Machakos,1510,50.97,229.25,1713.3,11.4,Grade A,0,1510,Machakos Collection Center 2,Pending,
PR00141,B00141,F0023,P02,Beans,2025-11-17,Peak Demand Season,Bungoma,850,126.4,85.03,587.75,14.5,Grade A,0,850,Bungoma Collection Center 1,Paid,19
PR00142,B00142,F0056,P01,Maize,2026-03-16,Lean Season,Kisumu,466,54.27,101.29,358.04,11.7,Grade A,0,466,Kisumu Collection Center 2,Paid,14
PR00143,B00143,F0068,P06,Millet,2025-07-15,Long Rains Harvest,Kisumu,346,74.13,37.88,350.68,11.4,Grade B,0,346,Kisumu Collection Center 3,Paid,19
PR00144,B00144,F0022,P04,Wheat,2025-03-08,Lean Season,Makueni,2633,60.75,306.38,1852.52,10.5,Grade A,0,2633,Makueni Collection Center 1,Delayed,42
PR00145,B00145,F0116,P02,Beans,2026-05-17,Lean Season,Makueni,316,122.49,46.94,367.72,13.7,Grade B,0,316,Makueni Collection Center 1,Pending,
PR00146,B00146,F0003,P01,Maize,2026-06-01,Lean Season,Meru,653,50.07,131.94,623.86,9.0,Grade B,0,653,Meru Collection Center 1,Paid,16
PR00147,B00147,F0007,P05,Sorghum,2025-04-21,Lean Season,Narok,1365,68.4,143.6,1341.56,9.9,Grade A,0,1365,Narok Collection Center 1,Paid,9
PR00148,B00148,F0088,P01,Maize,2025-01-10,Short Rains Harvest,Makueni,914,44.48,127.52,880.86,14.7,Grade B,194,720,Makueni Collection Center 3,Paid,12
PR00149,B00149,F0037,P05,Sorghum,2025-04-27,Lean Season,Trans Nzoia,2215,71.34,305.08,2051.76,12.1,Grade B,0,2215,Trans Nzoia Collection Center 2,Paid,16
PR00150,B00150,F0006,P01,Maize,2026-05-24,Lean Season,Kirinyaga,1198,63.35,138.51,1002.08,9.2,Grade A,0,1198,Kirinyaga Collection Center 3,Paid,16
PR00151,B00151,F0020,P05,Sorghum,2025-04-03,Lean Season,Uasin Gishu,280,71.22,27.2,281.82,11.2,Grade B,0,280,Uasin Gishu Collection Center 2,Delayed,38
PR00152,B00152,F0013,P03,Rice,2025-06-28,Lean Season,Meru,1087,99.94,121.59,817.59,13.0,Grade A,0,1087,Meru Collection Center 1,Pending,
PR00153,B00153,F0018,P01,Maize,2025-06-24,Lean Season,Bungoma,976,52.93,105.22,1140.52,11.9,Grade B,0,976,Bungoma Collection Center 1,Paid,14
PR00154,B00154,F0059,P02,Beans,2025-10-06,Peak Demand Season,Machakos,600,134.85,67.82,500.86,8.0,Grade B,0,600,Machakos Collection Center 3,Paid,19
PR00155,B00155,F0109,P01,Maize,2025-06-13,Lean Season,Kakamega,308,48.9,41.35,258.06,13.2,Grade B,0,308,Kakamega Collection Center 3,Pending,
